episode_id,step,player_idx,launch_idx,n_players,n_planets,n_fleets,pro_src_id,pro_target_id,pro_ships,pro_angle,pro_action_type,pro_target_owner,pro_target_priority,pro_target_zone,pro_rank_in_targets,n_targets,heur_top_target_id,heur_top_priority,heur_top1,heur_top3,heur_top5,heur_top10,heur_n_moves,heur_action_src_id,heur_action_target_id,heur_action_type,heur_action_ships,src_match,target_match,type_match,heur_idle,error,phase,final_reward,sanity_owner_match,sanity_ship_match,sanity_fleet_count_match,sanity_n_planets_compared,proj_owner_accuracy,proj_active_accuracy,proj_n_active,proj_horizon
75717722,310,3,0,4,28,0,25,4,361,-0.0428,enemy,0,0.5627,hard_far,2.0,28,6.0,0.8746,False,True,True,True,0,,,,,False,False,False,True,,0.6212,-1.0,,,,,,,,
75731565,209,0,2,4,24,24,0,4,16,-0.2218,reinforce,0,-0.3684,hard_far,4.0,13,16.0,1.1145,False,False,True,True,0,,,,,False,False,False,True,,0.6656,-1.0,,,,,,,,
75736695,85,1,1,2,24,23,1,0,35,0.4875,enemy,0,0.512,frontline,,7,4.0,0.4569,False,False,False,False,1,18.0,0.0,enemy,23.0,False,True,True,False,,0.7391,1.0,,,,,,,,
75738228,199,3,0,4,36,6,13,11,173,-2.6385,enemy,2,0.1337,hard_far,14.0,34,7.0,2.279,False,False,False,False,0,,,,,False,False,False,True,,0.7866,-1.0,,,,,,,,
75749145,267,2,0,4,32,34,11,12,22,0.6877,reinforce,2,-1.6855,priority_target,16.0,20,15.0,2.0198,False,False,False,False,1,18.0,23.0,reinforce,69.0,False,False,True,False,,0.837,-1.0,,,,,,,,
75749145,246,0,1,4,28,30,19,8,35,0.4433,reinforce,0,-0.4167,isolated,,10,12.0,0.4261,False,False,False,False,8,23.0,27.0,enemy,32.0,False,False,False,False,,0.7712,1.0,,,,,,,,
75749145,253,0,0,4,32,34,21,13,12,1.7339,reinforce,0,-0.0981,bastion,,10,3.0,1.3387,False,False,False,False,3,20.0,6.0,enemy,75.0,False,False,False,False,,0.7931,1.0,,,,,,,,
75749145,100,3,0,4,28,27,3,14,56,1.6755,reinforce,3,0.2881,bastion,,14,23.0,0.897,False,False,False,False,2,13.0,0.0,enemy,40.0,False,False,False,False,,0.3135,-1.0,1.0,1.0,True,28.0,0.2857,0.4286,14.0,200.0
75755341,140,1,0,2,28,30,4,6,18,-1.3851,reinforce,1,-0.0297,contested,,20,22.0,1.2628,False,False,False,False,0,,,,,False,False,False,True,,0.7568,-1.0,,,,,,,,
75755341,88,1,0,2,28,18,27,25,18,-0.4573,reinforce,1,-0.0917,frontline,,14,18.0,2.0363,False,False,False,False,1,6.0,22.0,neutral,30.0,False,False,False,False,,0.4757,-1.0,,,,,,,,
75755341,86,1,0,2,28,11,16,11,24,2.9621,enemy,0,-1.1428,periphery,11.0,15,18.0,1.525,False,False,False,False,1,6.0,22.0,neutral,30.0,False,False,False,False,,0.4649,-1.0,,,,,,,,
75755341,106,0,0,2,28,20,13,8,6,-0.2969,enemy,1,-1.4088,periphery,10.0,14,21.0,0.7682,False,False,False,True,0,,,,,False,False,False,True,,0.573,1.0,,,,,,,,
75773401,29,2,0,4,28,22,2,4,10,1.6472,reinforce,2,-0.9389,rear,,21,0.0,3.0357,False,False,False,False,0,,,,,False,False,False,True,,0.2437,1.0,,,,,,,,
75776178,83,0,0,4,36,24,33,3,1,1.7406,neutral,-1,-0.2011,priority_target,5.0,21,1.0,1.3647,False,False,True,True,0,,,,,False,False,False,True,,0.5497,-1.0,,,,,,,,
75778169,136,1,1,2,32,107,8,28,34,2.1602,reinforce,1,-0.6051,bastion,,3,7.0,0.0714,False,False,False,False,0,,,,,False,False,False,True,,0.951,1.0,,,,,,,,
75778542,103,0,0,2,24,6,17,11,29,-2.4049,enemy,1,0.8482,contested,3.0,12,7.0,1.2709,False,True,True,True,5,22.0,3.0,neutral,28.0,False,False,False,False,,0.7863,1.0,,,,,,,,
75778962,113,1,5,2,32,68,11,15,2,2.0023,reinforce,1,-0.5029,rear,,6,4.0,1.4238,False,False,False,False,2,30.0,7.0,neutral,51.0,False,False,False,False,,0.9741,1.0,,,,,,,,
75778962,80,1,1,2,36,46,3,14,16,-0.2717,reinforce,1,0.5782,contested,,15,31.0,1.4978,False,False,False,False,2,30.0,34.0,neutral,33.0,False,False,False,False,,0.6897,1.0,1.0,1.0,True,36.0,,,,
75778962,88,1,4,2,32,59,27,15,2,1.376,reinforce,1,-1.175,rear,,14,17.0,1.1662,False,False,False,False,3,29.0,6.0,neutral,19.0,False,False,False,False,,0.7586,1.0,,,,,,,,
75781174,143,1,1,2,24,11,18,2,36,1.2251,reinforce,1,-0.4331,mid,,5,13.0,-0.3058,False,False,False,False,0,,,,,False,False,False,True,,0.7526,1.0,,,,,,,,
75781174,119,1,0,2,24,13,12,2,76,0.2622,reinforce,1,-0.697,mid,,9,17.0,0.2852,False,False,False,False,0,,,,,False,False,False,True,,0.6263,1.0,,,,,,,,
75783641,68,1,0,4,40,15,9,5,29,-1.8731,neutral,-1,0.8608,easy_target,3.0,21,2.0,2.2762,False,True,True,True,4,29.0,2.0,neutral,84.0,False,False,True,False,,0.5113,1.0,,,,,,,,
75783641,94,1,0,4,36,28,26,9,10,-3.1192,reinforce,1,0.1124,bastion,,13,6.0,1.0609,False,False,False,False,4,11.0,2.0,neutral,11.0,False,False,False,False,,0.7068,1.0,,,,,,,,
75783641,72,2,0,4,40,18,26,15,34,-0.9438,enemy,3,0.5147,periphery,9.0,31,4.0,2.4542,False,False,False,True,6,30.0,4.0,enemy,50.0,False,False,True,False,,0.5414,-1.0,,,,,,,,
75785726,67,1,1,2,32,37,11,19,7,1.6578,reinforce,1,-0.9637,rear,,19,21.0,1.3296,False,False,False,False,4,13.0,25.0,neutral,30.0,False,False,False,False,,0.563,1.0,,,,,,,,
75789044,89,1,0,4,36,5,7,11,29,2.7814,neutral,-1,3.4102,easy_target,1.0,24,11.0,3.4102,True,True,True,True,8,7.0,1.0,reinforce,154.0,True,False,False,False,,0.1784,1.0,,,,,,,,
75791936,143,2,0,4,24,11,13,21,38,2.6371,enemy,3,-0.0131,periphery,4.0,13,12.0,1.4254,False,False,True,True,0,,,,,False,False,False,True,,0.4387,-1.0,,,,,,,,
