seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
19,gar_off,sub2,0,0,-1.0,1.0,246,0,28,0.0,3549.0,0.0,96.0,-3549.0,27.0,0.8343558282208589,0.7272727272727273,0.5293478260869565,0.5416666666666666,0.38659992298806317,0.2604166666666667,0.0,0.0
24,gar_off,sub2,1,0,1.0,-1.0,174,32,0,4307.0,0.0,92.0,0.0,4307.0,21.3,0.5431654676258992,0.48717948717948717,0.5762790697674418,0.48863636363636365,1.0,1.0,1.0,1.0
25,gar_off,sub2,1,0,1.0,-1.0,212,28,0,2802.0,0.0,44.0,0.0,2802.0,17.6,0.4777327935222672,0.5882352941176471,0.5975975975975976,0.5641025641025641,0.9965942954448701,1.0,1.0,1.0
21,gar_off,sub2,1,0,1.0,-1.0,288,32,0,4870.0,0.0,68.0,0.0,4870.0,38.7,0.5,0.4666666666666667,0.5156756756756756,0.5,0.6228758169934641,0.5882352941176471,1.0,1.0
26,gar_off,sub2,1,0,1.0,-1.0,202,32,0,4364.0,0.0,80.0,0.0,4364.0,26.2,0.49233716475095785,0.5238095238095238,0.5123658422771815,0.525,0.998139534883721,1.0,1.0,1.0
23,gar_off,sub2,1,0,1.0,-1.0,238,32,0,4606.0,0.0,80.0,0.0,4606.0,40.9,0.4263157894736842,0.5348837209302325,0.4919614147909968,0.5,0.8648,0.9102564102564102,1.0,1.0
27,gar_off,sub2,0,0,-1.0,1.0,226,0,24,0.0,2671.0,0.0,68.0,-2671.0,20.9,0.42,0.5294117647058824,0.5183960314179413,0.5441176470588235,0.1978249611600207,0.16176470588235295,0.0,0.0
28,gar_off,sub2,1,0,1.0,-1.0,247,24,0,2049.0,0.0,48.0,0.0,2049.0,16.6,0.6306306306306306,0.375,0.5477629987908101,0.5454545454545454,0.6866118175018698,0.6222222222222222,1.0,1.0
29,gar_off,sub2,0,0,-1.0,1.0,164,0,40,0.0,4490.0,0.0,112.0,-4490.0,24.7,0.47117794486215536,0.5869565217391305,0.4192644483362522,0.4074074074074074,0.0,0.0,0.0,0.0
3,gar_4,sub2,0,0,-1.0,1.0,162,0,24,0.0,2476.0,0.0,64.0,-2476.0,12.6,0.5079726651480638,0.5142857142857142,0.3743641912512716,0.45,0.0,0.0,0.0,0.0
0,gar_4,sub2,0,0,-1.0,1.0,169,0,36,0.0,3808.0,0.0,108.0,-3808.0,23.9,0.6176470588235294,0.6,0.5078636959370905,0.47115384615384615,0.0,0.0,0.0,0.0
5,gar_4,sub2,1,0,1.0,-1.0,150,20,0,2510.0,0.0,48.0,0.0,2510.0,8.0,0.5347432024169184,0.6,0.7101865136298422,0.6458333333333334,1.0,1.0,1.0,1.0
1,gar_4,sub2,0,0,-1.0,1.0,292,0,28,0.0,2465.0,0.0,52.0,-2465.0,26.6,0.45,0.75,0.5798994974874372,0.37777777777777777,0.4177461139896373,0.4423076923076923,0.0,0.0
4,gar_4,sub2,1,0,1.0,-1.0,199,24,0,3394.0,0.0,64.0,0.0,3394.0,14.9,0.7035175879396985,0.6111111111111112,0.6556380823767725,0.6833333333333333,1.0,1.0,1.0,1.0
2,gar_4,sub2,0,0,-1.0,1.0,164,0,36,0.0,3574.0,0.0,100.0,-3574.0,24.2,0.49690721649484537,0.4523809523809524,0.41968225948808474,0.40625,0.0,0.0,0.0,0.0
8,gar_4,sub2,0,0,-1.0,1.0,173,0,24,0.0,1615.0,0.0,44.0,-1615.0,10.8,0.47417840375586856,0.5833333333333334,0.44263862332695986,0.39473684210526316,0.0,0.0,0.0,0.0
7,gar_4,sub2,1,0,1.0,-1.0,205,24,0,3926.0,0.0,60.0,0.0,3926.0,14.4,0.5,0.5,0.6190773067331671,0.5892857142857143,0.9946033459255261,1.0,1.0,1.0
11,gar_4,sub2,0,0,-1.0,1.0,153,0,24,0.0,3583.0,0.0,80.0,-3583.0,9.2,0.4911242603550296,0.6153846153846154,0.29263687853996223,0.3,0.0,0.0,0.0,0.0
13,gar_4,sub2,1,0,1.0,-1.0,198,32,0,6143.0,0.0,72.0,0.0,6143.0,14.5,0.44666666666666666,0.6470588235294118,0.7506415739948674,0.7846153846153846,1.0,1.0,1.0,1.0
12,gar_4,sub2,0,0,-1.0,1.0,155,0,35,0.0,2666.0,0.0,87.0,-2666.0,24.3,0.5492424242424242,0.5185185185185185,0.3921354451119607,0.4567901234567901,0.0,0.0,0.0,0.0
6,gar_4,sub2,0,0,-1.0,1.0,210,0,36,0.0,5021.0,0.0,96.0,-5021.0,41.8,0.4530612244897959,0.5714285714285714,0.39809782608695654,0.4166666666666667,0.0026023184291459663,0.0,0.0,0.0
10,gar_4,sub2,1,0,1.0,-1.0,302,28,0,5642.0,0.0,84.0,0.0,5642.0,40.6,0.5878962536023055,0.625,0.5183887915936952,0.4861111111111111,0.596757502587099,0.6666666666666666,1.0,1.0
