seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
1,prio_1.1,sub2,1,0,1.0,-1.0,130,28,0,3415.0,0.0,64.0,0.0,3415.0,7.3,0.7918367346938775,0.625,0.958262831359278,1.0,1.0,1.0,1.0,1.0
25,prio_1.0,sub2,1,0,1.0,-1.0,279,35,0,4270.0,0.0,91.0,0.0,4270.0,36.1,0.4875,0.6923076923076923,0.48474801061007955,0.44871794871794873,0.6276733635774465,0.6477272727272727,1.0,1.0
29,prio_1.0,sub2,1,0,1.0,-1.0,184,24,0,3728.0,0.0,68.0,0.0,3728.0,21.6,0.4463667820069204,0.6086956521739131,0.5701447828257613,0.5441176470588235,1.0,1.0,1.0,1.0
3,prio_1.1,sub2,1,0,1.0,-1.0,227,24,0,2858.0,0.0,64.0,0.0,2858.0,12.5,0.5909090909090909,0.25,0.5258358662613982,0.5,0.9165432098765433,0.9333333333333333,1.0,1.0
0,prio_1.1,sub2,1,0,1.0,-1.0,257,34,0,5940.0,0.0,70.0,0.0,5940.0,27.5,0.5191256830601093,0.5833333333333334,0.5773809523809523,0.5384615384615384,0.9294026377036463,0.9411764705882353,1.0,1.0
2,prio_1.1,sub2,0,0,-1.0,1.0,210,0,32,0.0,3411.0,0.0,72.0,-3411.0,27.2,0.6419213973799127,0.5882352941176471,0.5423728813559322,0.4444444444444444,0.003236245954692557,0.0,0.0,0.0
5,prio_1.1,sub2,1,0,1.0,-1.0,159,39,0,5257.0,0.0,99.0,0.0,5257.0,22.2,0.5463182897862233,0.5757575757575758,0.7230443974630021,0.6145833333333334,1.0,1.0,1.0,1.0
8,prio_1.1,sub2,1,0,1.0,-1.0,162,28,0,5078.0,0.0,84.0,0.0,5078.0,16.7,0.606508875739645,0.5641025641025641,0.675967596759676,0.6785714285714286,1.0,1.0,1.0,1.0
7,prio_1.1,sub2,0,0,-1.0,1.0,214,0,28,0.0,2519.0,0.0,56.0,-2519.0,21.5,0.5581395348837209,0.6666666666666666,0.520703933747412,0.38,0.0654562828475872,0.08928571428571429,0.0,0.0
6,prio_1.1,sub2,1,0,1.0,-1.0,432,20,0,15190.0,0.0,72.0,0.0,15190.0,27.1,0.5183946488294314,0.45714285714285713,0.5866998135487881,0.5,0.7960887716985278,0.7638888888888888,1.0,1.0
9,prio_1.1,sub2,0,0,-1.0,1.0,156,0,32,0.0,2492.0,0.0,84.0,-2492.0,15.9,0.30434782608695654,0.625,0.4016,0.29411764705882354,0.0,0.0,0.0,0.0
4,prio_1.1,sub2,1,0,1.0,-1.0,285,32,0,7939.0,0.0,116.0,0.0,7939.0,42.4,0.5930232558139535,0.6428571428571429,0.6004050925925926,0.5775862068965517,0.7099725526075022,0.6379310344827587,1.0,1.0
11,prio_1.1,sub2,0,0,-1.0,1.0,129,0,24,0.0,2431.0,0.0,76.0,-2431.0,9.6,0.5033783783783784,0.5135135135135135,0.2871842843779233,0.2894736842105263,0.0,0.0,0.0,0.0
10,prio_1.1,sub2,1,0,1.0,-1.0,198,28,0,3328.0,0.0,64.0,0.0,3328.0,13.5,0.7192982456140351,0.6666666666666666,0.5655281969817315,0.6,1.0,1.0,1.0,1.0
13,prio_1.1,sub2,1,0,1.0,-1.0,175,30,0,6021.0,0.0,86.0,0.0,6021.0,15.6,0.6118143459915611,0.68,0.6972369194591417,0.6309523809523809,1.0,1.0,1.0,1.0
16,prio_1.1,sub2,1,0,1.0,-1.0,157,28,0,4210.0,0.0,72.0,0.0,4210.0,15.0,0.49097472924187724,0.5263157894736842,0.6710914454277286,0.6323529411764706,1.0,1.0,1.0,1.0
12,prio_1.1,sub2,1,0,1.0,-1.0,221,32,0,6281.0,0.0,84.0,0.0,6281.0,26.7,0.5315487571701721,0.56,0.65,0.5487804878048781,0.8792937399678973,0.8571428571428571,1.0,1.0
15,prio_1.1,sub2,0,0,-1.0,1.0,236,0,28,0.0,3256.0,0.0,68.0,-3256.0,27.2,0.5220588235294118,0.5,0.4877450980392157,0.45588235294117646,0.2287117903930131,0.14705882352941177,0.0,0.0
17,prio_1.1,sub2,1,0,1.0,-1.0,185,32,0,6739.0,0.0,96.0,0.0,6739.0,19.1,0.5299145299145299,0.5909090909090909,0.6825028968713789,0.7204301075268817,1.0,1.0,1.0,1.0
19,prio_1.1,sub2,0,0,-1.0,1.0,200,0,24,0.0,3393.0,0.0,76.0,-3393.0,16.1,0.5,0.5,0.4306969459671104,0.4027777777777778,0.0,0.0,0.0,0.0
14,prio_1.1,sub2,1,0,1.0,-1.0,500,27,1,27048.0,1198.0,84.0,4.0,25850.0,38.8,0.5,0.5,0.5025785278949836,0.525,0.8435888621519423,0.9204545454545454,0.9575869149614105,0.9545454545454546
20,prio_1.1,sub2,0,0,-1.0,1.0,156,0,23,0.0,1972.0,0.0,63.0,-1972.0,11.9,0.48242811501597443,0.3684210526315789,0.42110655737704916,0.36666666666666664,0.0,0.0,0.0,0.0
18,prio_1.1,sub2,0,0,-1.0,1.0,208,0,28,0.0,4768.0,0.0,84.0,-4768.0,23.5,0.6151960784313726,0.4473684210526316,0.4402451481103167,0.4880952380952381,0.0016646848989298453,0.0,0.0,0.0
21,prio_1.1,sub2,0,0,-1.0,1.0,129,0,22,0.0,2441.0,0.0,74.0,-2441.0,9.3,0.4966887417218543,0.43333333333333335,0.23827292110874201,0.28378378378378377,0.0,0.0,0.0,0.0
