candidate_a_idx,candidate_a_name,candidate_b_idx,candidate_b_name,match_id,seed,points_a,points_b,win_a,draw,win_b,reward_our,reward_sub,ships_our_final,ships_sub_final,ships_diff,steps,match_time_sec
1,winner_seed4,7,winner_seed39,3,2703,0.0,1.0,0,0,1,-1,1,0,2120,-2120,166,8.4
1,winner_seed4,7,winner_seed39,6,2706,1.0,0.0,1,0,0,1,-1,1518,0,1518,138,4.5
1,winner_seed4,7,winner_seed39,4,2704,0.0,1.0,0,0,1,-1,1,0,3332,-3332,213,12.3
1,winner_seed4,7,winner_seed39,1,2701,1.0,0.0,1,0,0,1,-1,1676,0,1676,217,21.8
1,winner_seed4,7,winner_seed39,5,2705,0.0,1.0,0,0,1,-1,1,0,2703,-2703,236,11.5
1,winner_seed4,7,winner_seed39,2,2702,1.0,0.0,1,0,0,1,-1,5145,0,5145,231,17.9
1,winner_seed4,7,winner_seed39,8,2708,1.0,0.0,1,0,0,1,-1,2273,0,2273,178,4.8
1,winner_seed4,7,winner_seed39,9,2709,1.0,0.0,1,0,0,1,-1,1066,0,1066,172,5.1
1,winner_seed4,7,winner_seed39,7,2707,1.0,0.0,1,0,0,1,-1,2258,0,2258,226,10.0
1,winner_seed4,7,winner_seed39,11,2711,1.0,0.0,1,0,0,1,-1,2038,0,2038,197,6.5
1,winner_seed4,7,winner_seed39,10,2710,1.0,0.0,1,0,0,1,-1,3068,0,3068,163,7.6
1,winner_seed4,7,winner_seed39,12,2712,1.0,0.0,1,0,0,1,-1,2907,0,2907,215,6.6
1,winner_seed4,7,winner_seed39,16,2716,1.0,0.0,1,0,0,1,-1,1463,0,1463,197,5.5
1,winner_seed4,7,winner_seed39,14,2714,1.0,0.0,1,0,0,1,-1,2596,0,2596,197,7.0
1,winner_seed4,7,winner_seed39,13,2713,1.0,0.0,1,0,0,1,-1,1791,0,1791,348,11.9
1,winner_seed4,7,winner_seed39,17,2717,0.0,1.0,0,0,1,-1,1,0,2344,-2344,350,9.5
1,winner_seed4,7,winner_seed39,19,2719,1.0,0.0,1,0,0,1,-1,2137,0,2137,168,5.9
1,winner_seed4,7,winner_seed39,18,2718,0.0,1.0,0,0,1,-1,1,0,1349,-1349,194,6.1
1,winner_seed4,7,winner_seed39,15,2715,1.0,0.0,1,0,0,1,-1,6120,0,6120,206,15.9
1,winner_seed4,8,winner_seed47,3,2803,0.0,1.0,0,0,1,-1,1,0,2331,-2331,153,4.3
1,winner_seed4,8,winner_seed47,0,2800,0.0,1.0,0,0,1,-1,1,0,4475,-4475,191,12.2
1,winner_seed4,8,winner_seed47,4,2804,0.0,1.0,0,0,1,-1,1,0,1514,-1514,145,3.0
1,winner_seed4,8,winner_seed47,1,2801,0.0,1.0,0,0,1,-1,1,0,4925,-4925,318,13.7
1,winner_seed4,8,winner_seed47,5,2805,0.0,1.0,0,0,1,-1,1,0,3279,-3279,230,11.1
1,winner_seed4,8,winner_seed47,6,2806,1.0,0.0,1,0,0,1,-1,2716,0,2716,230,10.2
1,winner_seed4,8,winner_seed47,9,2809,0.0,1.0,0,0,1,-1,1,0,2904,-2904,248,6.7
1,winner_seed4,8,winner_seed47,2,2802,0.0,1.0,0,0,1,-1,1,0,5605,-5605,356,26.5
1,winner_seed4,8,winner_seed47,11,2811,0.0,1.0,0,0,1,-1,1,0,3446,-3446,228,7.9
1,winner_seed4,8,winner_seed47,7,2807,1.0,0.0,1,0,0,1,-1,2530,0,2530,396,24.6
1,winner_seed4,8,winner_seed47,12,2812,1.0,0.0,1,0,0,1,-1,2059,0,2059,211,5.7
1,winner_seed4,8,winner_seed47,13,2813,0.0,1.0,0,0,1,-1,1,0,2421,-2421,250,7.1
1,winner_seed4,8,winner_seed47,10,2810,1.0,0.0,1,0,0,1,-1,3975,0,3975,195,24.1
1,winner_seed4,8,winner_seed47,16,2816,0.0,1.0,0,0,1,-1,1,0,2067,-2067,166,7.1
1,winner_seed4,8,winner_seed47,17,2817,0.0,1.0,0,0,1,-1,1,0,3026,-3026,140,4.2
1,winner_seed4,8,winner_seed47,15,2815,0.0,1.0,0,0,1,-1,1,0,4042,-4042,255,14.0
1,winner_seed4,8,winner_seed47,8,2808,1.0,0.0,1,0,0,1,-1,5905,0,5905,442,37.0
1,winner_seed4,8,winner_seed47,14,2814,0.0,1.0,0,0,1,-1,1,0,3465,-3465,366,19.2
2,winner_seed11,3,winner_seed19,0,3300,1.0,0.0,1,0,0,1,-1,2721,0,2721,154,5.2
1,winner_seed4,8,winner_seed47,19,2819,0.0,1.0,0,0,1,-1,1,0,4350,-4350,153,8.0
1,winner_seed4,8,winner_seed47,18,2818,1.0,0.0,1,0,0,1,-1,3371,0,3371,170,9.8
2,winner_seed11,3,winner_seed19,5,3305,0.0,1.0,0,0,1,-1,1,0,946,-946,195,4.8
2,winner_seed11,3,winner_seed19,1,3301,1.0,0.0,1,0,0,1,-1,3009,0,3009,246,13.5
2,winner_seed11,3,winner_seed19,4,3304,0.0,1.0,0,0,1,-1,1,0,2437,-2437,195,9.6
2,winner_seed11,3,winner_seed19,2,3302,0.0,1.0,0,0,1,-1,1,0,2674,-2674,306,14.0
2,winner_seed11,3,winner_seed19,3,3303,1.0,0.0,1,0,0,1,-1,14102,0,14102,265,17.1
2,winner_seed11,3,winner_seed19,6,3306,0.0,1.0,0,0,1,-1,1,0,3453,-3453,341,12.4
2,winner_seed11,3,winner_seed19,8,3308,1.0,0.0,1,0,0,1,-1,2739,0,2739,187,9.0
2,winner_seed11,3,winner_seed19,9,3309,0.0,1.0,0,0,1,-1,1,0,2816,-2816,216,9.2
2,winner_seed11,3,winner_seed19,12,3312,0.0,1.0,0,0,1,-1,1,0,795,-795,164,7.7
2,winner_seed11,3,winner_seed19,7,3307,1.0,0.0,1,0,0,1,-1,15663,0,15663,368,21.0
2,winner_seed11,3,winner_seed19,13,3313,1.0,0.0,1,0,0,1,-1,5441,0,5441,218,10.2
2,winner_seed11,3,winner_seed19,10,3310,0.0,1.0,0,0,1,-1,1,0,3555,-3555,278,18.5
2,winner_seed11,3,winner_seed19,16,3316,0.0,1.0,0,0,1,-1,1,0,3016,-3016,135,3.8
2,winner_seed11,3,winner_seed19,15,3315,0.0,1.0,0,0,1,-1,1,0,1764,-1764,245,6.4
2,winner_seed11,3,winner_seed19,14,3314,0.0,1.0,0,0,1,-1,1,0,4480,-4480,183,13.1
2,winner_seed11,3,winner_seed19,18,3318,1.0,0.0,1,0,0,1,-1,585,0,585,173,6.0
2,winner_seed11,3,winner_seed19,17,3317,0.0,1.0,0,0,1,-1,1,0,3126,-3126,198,7.3
2,winner_seed11,3,winner_seed19,19,3319,1.0,0.0,1,0,0,1,-1,2776,0,2776,242,8.0
2,winner_seed11,3,winner_seed19,11,3311,1.0,0.0,1,0,0,1,-1,5491,0,5491,414,29.7
2,winner_seed11,4,winner_seed20,0,3400,0.0,1.0,0,0,1,-1,1,0,1693,-1693,216,8.4
2,winner_seed11,4,winner_seed20,3,3403,1.0,0.0,1,0,0,1,-1,3107,0,3107,151,5.2
2,winner_seed11,4,winner_seed20,2,3402,0.0,1.0,0,0,1,-1,1,0,3172,-3172,175,9.6
2,winner_seed11,4,winner_seed20,1,3401,0.0,1.0,0,0,1,-1,1,0,3831,-3831,273,14.0
2,winner_seed11,4,winner_seed20,7,3407,1.0,0.0,1,0,0,1,-1,2048,0,2048,149,8.3
2,winner_seed11,4,winner_seed20,4,3404,0.0,1.0,0,0,1,-1,1,0,4083,-4083,209,11.1
2,winner_seed11,4,winner_seed20,6,3406,0.0,1.0,0,0,1,-1,1,0,1422,-1422,185,9.2
2,winner_seed11,4,winner_seed20,5,3405,1.0,0.0,1,0,0,1,-1,1363,0,1363,266,17.8
2,winner_seed11,4,winner_seed20,9,3409,1.0,0.0,1,0,0,1,-1,3755,0,3755,155,7.6
2,winner_seed11,4,winner_seed20,8,3408,0.0,1.0,0,0,1,-1,1,0,2293,-2293,198,12.1
2,winner_seed11,4,winner_seed20,11,3411,1.0,0.0,1,0,0,1,-1,2595,0,2595,304,7.9
2,winner_seed11,4,winner_seed20,10,3410,0.0,1.0,0,0,1,-1,1,0,1679,-1679,401,11.5
2,winner_seed11,4,winner_seed20,12,3412,1.0,0.0,1,0,0,1,-1,2367,0,2367,147,4.8
2,winner_seed11,4,winner_seed20,13,3413,1.0,0.0,1,0,0,1,-1,954,0,954,261,9.7
2,winner_seed11,4,winner_seed20,17,3417,0.5,0.5,0,1,0,1,1,3295,3295,0,500,5.9
2,winner_seed11,4,winner_seed20,14,3414,0.0,1.0,0,0,1,-1,1,0,3303,-3303,187,10.6
2,winner_seed11,4,winner_seed20,16,3416,1.0,0.0,1,0,0,1,-1,4477,0,4477,233,11.2
2,winner_seed11,5,winner_seed22,0,3500,0.0,1.0,0,0,1,-1,1,0,3094,-3094,206,8.7
2,winner_seed11,5,winner_seed22,1,3501,0.0,1.0,0,0,1,-1,1,0,4979,-4979,186,7.8
2,winner_seed11,4,winner_seed20,15,3415,1.0,0.0,1,0,0,1,-1,2831,0,2831,341,26.0
