seed,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,time_sec,phase,trial,w_activity_weight,w_idle_floor,w_distance_comfort,w_risk_tolerance,w_ships_weight,w_eta_bonus,w_priority_bonus,w_stress_top_k,w_stress_gamma
70,-1,1,0,0,221,0,2596,-2596,17.91,-1,-1,,,,,,,,,
3,-1,1,0,0,138,0,1836,-1836,8.59,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
2,1,-1,1,0,217,5452,0,5452,10.36,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
6,-1,1,0,0,156,0,1253,-1253,18.39,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
4,1,-1,1,0,188,5964,0,5964,21.18,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
14,1,-1,1,0,182,2982,0,2982,22.93,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
15,-1,1,0,0,152,0,1150,-1150,15.24,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
18,1,-1,1,0,172,4632,0,4632,19.69,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
28,1,-1,1,0,150,5546,0,5546,13.59,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
32,1,-1,1,0,197,4317,0,4317,11.69,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
33,1,-1,1,0,156,2127,0,2127,15.38,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
36,-1,1,0,0,117,0,1878,-1878,7.87,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
29,1,-1,1,0,188,3103,0,3103,20.13,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
35,1,-1,1,0,158,4214,0,4214,11.28,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
44,-1,1,0,0,106,0,485,-485,9.29,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
39,1,-1,1,0,149,3274,0,3274,10.91,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
48,1,-1,1,0,183,6374,0,6374,16.84,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
58,-1,1,0,0,214,0,1469,-1469,23.42,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
59,1,-1,1,0,238,3488,0,3488,18.09,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
70,-1,1,0,0,162,0,641,-641,12.69,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
64,-1,1,0,0,170,0,3509,-3509,20.74,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
38,-1,1,0,0,250,0,4184,-4184,42.43,-2,-1,1.27,28.0,0.3909,0.0,3.557,31.413,1.6609,3.0,0.5796
