seed,w_wnn_close_res,w_mean_dist_all,w_ships,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,match_time_sec,round
1002,0.6,-0.2,-0.7,1,-1,1,0,269,4460,0,4460,36.9,1
1002,0.2,-0.8,-0.5,-1,1,0,0,147,0,3099,-3099,10.6,1
1002,0.4,-0.2,-0.5,-1,1,0,0,148,0,662,-662,11.5,1
1000,0.4,-0.2,-0.5,-1,1,0,0,151,0,2219,-2219,17.0,1
1002,0.8,-0.6,-0.1,1,-1,1,0,185,4954,0,4954,17.3,1
1000,0.6,-0.2,-0.3,-1,1,0,0,169,0,1474,-1474,17.0,1
1001,0.4,-0.2,-0.5,1,-1,1,0,182,5022,0,5022,22.4,1
1000,0.6,-0.2,-0.5,1,-1,1,0,130,2215,0,2215,8.6,1
1002,0.6,-0.2,-0.3,-1,1,0,0,133,0,652,-652,14.2,1
1001,0.6,-0.2,-0.3,1,-1,1,0,230,3903,0,3903,21.9,1
1000,0.6,-0.4,-0.9,-1,1,0,0,182,0,3522,-3522,11.8,1
1002,0.6,-0.2,-0.5,1,-1,1,0,165,2389,0,2389,15.4,1
1001,0.6,-0.4,-0.9,-1,1,0,0,165,0,5000,-5000,10.6,1
1002,0.6,-0.4,-0.9,1,-1,1,0,151,2262,0,2262,9.4,1
1002,0.2,-0.4,-0.5,1,-1,1,0,201,2006,0,2006,8.8,1
1001,0.6,-0.2,-0.5,1,-1,1,0,209,4314,0,4314,32.8,1
1001,0.6,-0.6,-0.1,-1,1,0,0,142,0,798,-798,6.3,1
1000,0.2,-0.4,-0.5,-1,1,0,0,221,0,692,-692,20.8,1
1002,0.6,-0.6,-0.1,-1,1,0,0,122,0,961,-961,7.0,1
1001,0.2,-0.6,-0.3,1,-1,1,0,105,2406,0,2406,4.8,1
1001,0.2,-0.4,-0.5,-1,1,0,0,228,0,2073,-2073,26.1,1
1000,0.4,-0.4,-0.3,-1,1,0,0,148,0,2962,-2962,9.2,1
1000,0.6,-0.6,-0.1,-1,1,0,0,219,0,1498,-1498,31.7,1
1002,0.2,-0.6,-0.3,-1,1,0,0,181,0,1120,-1120,21.1,1
1001,0.4,-0.4,-0.3,-1,1,0,0,274,0,935,-935,17.8,1
1002,0.4,-0.4,-0.3,1,-1,1,0,158,4403,0,4403,13.5,1
1000,0.2,-0.6,-0.3,-1,1,0,0,258,0,1208,-1208,33.4,1
1000,0.8,-0.4,-0.5,-1,1,0,0,220,0,649,-649,21.0,1
1000,1.0,-0.6,-0.9,-1,1,0,0,146,0,1716,-1716,16.7,1
